Perguntas;Respostas
Vocês têm lojas físicas?;"Com certeza! Temos várias lojas físicas pelo estado do Rio de Janeiro. Encontre-as facilmente através do nosso site, Instagram ou até mesmo uma rápida busca por ""BatheWellness"" no Google. Simples assim!"
Há um período de avaliação gratuita?;Alguns dos nossos planos incluem períodos de teste, permitindo que você experimente produtos novos. Além disso, ao adquirir um novo produto, você poderá solicitar uma amostra grátis à sua escolha da nossa loja e, se desejar, obter um ótimo desconto na sua próxima compra deste mesmo produto.
Como são estruturados os preços dos nossos produtos?;Nossos produtos variam em categorias e linhas diferentes. Contudo, podemos garantir que oferecemos a melhor relação qualidade-preço do mercado, proporcionando a você excelência sem comprometer seu orçamento.
Como posso cancelar minha assinatura?;Entendemos que situações podem surgir. Se precisar, podemos congelar sua assinatura temporariamente para que você continue a receber nossos produtos. Caso realmente precise cancelar, essa opção está disponível tanto nas nossas plataformas digitais quanto em nossas lojas físicas.
Qual o benefício em congelar minha assinatura?;Dessa forma você poderá continuar recebendo novos produtos, sem se preocupar com o atual e próximos pagamentos.
Vocês oferecem reembolsos?;A nossa política de reembolso é garantida por lei. Se nossos produtos ou serviços não atenderem às suas expectativas, estaremos prontos para devolver o seu dinheiro, oferecendo até mesmo cashback. Sua satisfação é nossa prioridade!
Como posso entrar em contato com o suporte ao cliente?;Valorizamos o atendimento pessoal aos nossos clientes. Estamos disponíveis nas nossas Lojas Físicas, por E-mail, SAC e também através do Live Chat no nosso site, onde você pode conversar diretamente com um atendente no conforto da sua casa. Se preferir, em lojas físicas, você pode nos contatar pelo Instagram ou WhatsApp da loja. Encontre todas as nossas lojas facilmente no rodapé do nosso site.
Qual é a missão da BatheWellness?;Na BatheWellness, somos dedicados a realçar a beleza e o bem-estar dos nossos clientes. Oferecemos uma linha exclusiva de produtos de banho e higiene, incluindo sabonetes, cremes hidratantes, loções pós-banho, sais para banho, shampoos especiais e muitos outros. Nossos produtos são pensados para cuidar da sua higiene e realçar ainda mais a sua beleza.<br>
Como funciona o nosso serviço?;A BatheWellness oferece tanto lojas online quanto físicas, proporcionando a você diversas opções para encontrar os nossos produtos. Em nossas lojas online, você poderá aproveitar nossos serviços de assinatura, que incluem descontos e programas exclusivos.
Quais são os diferenciais dos nossos produtos?;Os produtos da BatheWellness são garantia de satisfação comprovada por meio de pesquisas e estudos. Cada item é meticulosamente testado, garantindo 100% de qualidade e eficácia.
Qual é a missão e visão da empresa?;Nossa missão é proporcionar a todos os clientes a melhor experiência de beleza, fazendo com que você se sinta sempre a mais bela e confiante do mundo. Ou o mais belo e confiante do mundo. Aqui não ligamos para rótulos, somente os dos nossos produtos!
Posso colaborar com a empresa?;Definitivamente! Oferecemos programas de incentivo que permitem colaborar conosco no desenvolvimento de novos produtos e, quem sabe, até trabalhar diretamente conosco.
Como posso ficar atualizado com as últimas notícias e anúncios?;Acompanhe-nos nas nossas Redes Sociais @BatheWellness em todos os canais e assine a nossa NewsLetter através do site para se manter informado sobre todas as nossas novidades. E, claro, fique atento ao nosso site, onde as primeiras promoções e produtos novos sempre serão revelados primeiro.
Resolvendo Problemas no Pagamento;Encontrou algum contratempo durante o pagamento no checkout? Não se preocupe! Nossa equipe de suporte está pronta para ajuda. Você pode entrar em contato através do nosso Live Chat ou pelo nosso serviço de atendimento ao cliente. Estamos aqui para garantir que sua experiência de compra seja suave e agradável.
Transação recusada ou não processada;Caso sua transação tenha sido recusada ou não processada, há algumas medidas que você pode tomar. Primeiramente, verifique se todas as informações do cartão estão corretas e atualizadas. Se o problema persistir, entre em contato com seu banco para garantir que não haja restrições de pagamento em seu cartão. Se ainda assim tiver problemas, nossa equipe de suporte estará pronta para auxiliar na resolução do problema.
Resolvendo Problemas no Pagamento;Encontrou algum contratempo durante o pagamento no checkout? Não se preocupe! Nossa equipe de suporte está pronta para ajudar. Você pode entrar em contato através do nosso Live Chat ou pelo nosso serviço de atendimento ao cliente. Estamos aqui para garantir que sua experiência de compra seja suave e agradável.
